city_name,country,hemisphere,lat,lon,avg_annual_temp,spring_TAVG,summer_TAVG,autumn_TAVG,winter_TAVG,summer_TMAX,winter_TMIN,temp_range,annual_PRCP,spring_PRCP,summer_PRCP,autumn_PRCP,winter_PRCP,wettest_season,driest_season,climate_type,data_years,total_records
Abu Dhabi,United Arab Emirates,Northern,25.26,55.36,29.11,32.03,35.69,26.36,22.35,46.43,12.27,34.16,1.09,0.32,0.11,0.22,0.44,winter,summer,Hot-Dry-Continental,17,68
Abuja,Nigeria,Northern,8.44,4.49,26.94,26.65,25.91,25.88,29.33,31.42,22.66,8.76,44.49,13.38,8.71,22.0,0.4,autumn,winter,Hot-Dry-Maritime,5,20
Accra,Ghana,Northern,5.69,-0.19,27.12,27.47,25.57,27.05,28.41,30.81,23.18,7.63,29.98,10.88,4.89,6.08,8.12,spring,summer,Hot-Dry-Maritime,18,72
Addis Ababa,Ethiopia,Northern,9.14,38.8,17.87,18.72,17.33,17.31,18.12,25.72,11.06,14.66,21.94,4.72,7.74,5.1,4.38,summer,winter,Temperate-Dry-Maritime,15,60
Adelaide,Australia,Southern,-34.99,138.71,17.12,19.2,21.94,14.64,12.69,40.28,1.25,39.03,3.88,0.73,0.43,1.27,1.45,winter,summer,Temperate-Dry-Continental,20,80
Alexandria,Egypt,Northern,31.19,29.9,19.4,20.2,24.96,17.87,14.57,29.59,6.25,23.34,4.09,0.25,0.67,1.52,1.65,winter,spring,Temperate-Dry-Moderate,3,12
Algiers,Algeria,Northern,36.2,3.53,18.44,20.34,27.56,15.23,10.64,41.1,-0.43,41.53,5.98,1.18,0.52,2.0,2.28,winter,summer,Temperate-Dry-Continental,15,60
Almaty,Kazakhstan,Northern,43.23,76.93,10.86,17.94,22.89,4.48,-1.89,40.3,-19.5,59.8,6.67,2.92,1.04,0.89,1.82,spring,autumn,Temperate-Dry-Continental,1,4
Amman,Jordan,Northern,32.01,34.89,19.85,21.8,26.53,17.98,13.09,37.26,2.58,34.68,5.19,0.45,0.07,2.15,2.52,winter,summer,Temperate-Dry-Continental,20,80
Amsterdam,Netherlands,Northern,52.23,5.1,10.96,13.22,17.24,8.39,5.0,31.99,-7.08,39.07,9.33,1.83,2.67,2.75,2.08,autumn,spring,Temperate-Dry-Continental,20,80
Anchorage,United States,Northern,60.96,-149.44,1.67,6.07,10.43,-3.62,-6.19,24.8,-24.48,49.28,10.0,1.38,3.48,3.01,2.13,summer,spring,Cold-Dry-Continental,20,80
Andorra la Vella,Andorra,Northern,43.09,1.15,13.39,15.69,20.34,10.26,7.26,36.35,-6.52,42.87,8.63,2.52,1.67,2.23,2.21,spring,summer,Temperate-Dry-Continental,20,80
Ankara,Turkey,Northern,38.99,32.83,13.09,16.4,22.82,9.08,4.07,36.73,-11.68,48.41,4.25,1.54,0.51,0.85,1.35,spring,summer,Temperate-Dry-Continental,20,80
Antalya,Turkey,Northern,34.88,33.63,20.64,22.33,27.99,18.95,13.3,37.42,2.33,35.09,3.48,0.28,0.11,1.24,1.85,winter,summer,Hot-Dry-Continental,19,76
Antananarivo,Madagascar,Southern,-18.9,47.55,19.86,21.92,21.99,19.36,16.17,30.11,9.92,20.19,29.03,8.91,14.15,4.45,1.51,summer,winter,Temperate-Dry-Moderate,20,80
Apia,Samoa,Southern,-14.33,-170.71,27.67,27.82,28.14,27.68,27.05,33.36,21.64,11.72,37.86,10.38,11.87,9.28,6.33,summer,winter,Hot-Dry-Maritime,9,36
Ashgabat,Turkmenistan,Northern,37.97,58.33,18.71,24.76,29.76,11.29,9.04,42.88,-5.18,48.06,1.44,0.57,0.13,0.23,0.51,spring,summer,Temperate-Dry-Continental,6,24
Asunción,Paraguay,Southern,-26.21,-58.23,21.1,23.67,25.8,18.4,16.52,39.11,6.84,32.27,46.89,17.77,14.52,8.62,5.98,spring,winter,Hot-Dry-Continental,19,76
Athens,Greece,Northern,37.78,23.81,19.01,21.11,27.39,15.91,11.63,38.35,0.55,37.8,5.47,0.55,0.5,2.73,1.69,autumn,summer,Temperate-Dry-Continental,20,80
Auckland,New Zealand,Southern,-37.46,174.91,15.77,16.55,19.68,14.55,12.31,28.06,1.66,26.4,8.46,1.94,1.6,2.34,2.59,winter,summer,Temperate-Dry-Moderate,20,80
Austin,United States,Northern,32.82,-97.35,19.59,23.41,28.11,15.15,11.67,39.94,-5.89,45.83,12.97,4.62,2.41,2.94,2.99,spring,summer,Temperate-Dry-Continental,20,80
Baghdad,Iraq,Northern,33.94,47.21,18.98,23.63,29.73,13.64,8.94,44.03,-7.11,51.14,2.5,0.75,0.11,0.75,0.89,winter,summer,Temperate-Dry-Continental,20,80
Baku,Azerbaijan,Northern,42.97,47.55,13.37,17.23,23.96,9.45,2.83,36.37,-14.75,51.12,8.63,0.85,1.36,5.58,0.85,autumn,spring,Temperate-Dry-Continental,12,48
Bali,Indonesia,Southern,-7.21,113.94,27.19,26.91,27.39,27.41,27.04,32.18,24.16,8.02,34.32,11.32,12.48,4.43,6.09,summer,autumn,Hot-Dry-Maritime,5,20
Bamako,Mali,Northern,12.45,-7.94,28.37,29.82,26.43,27.59,29.66,35.52,23.01,12.51,24.24,5.68,11.29,4.83,2.44,summer,winter,Hot-Dry-Maritime,18,72
Bangalore,India,Northern,12.38,78.37,28.24,29.88,28.7,27.02,27.35,36.83,22.32,14.51,43.26,10.37,11.57,16.09,5.22,autumn,winter,Hot-Dry-Maritime,20,80
Bangkok,Thailand,Northern,13.7,100.63,28.86,29.82,28.88,28.26,28.49,36.19,22.29,13.9,29.94,7.81,8.05,8.77,5.3,autumn,winter,Hot-Dry-Maritime,20,80
Barcelona,Spain,Northern,42.9,1.78,14.08,16.32,21.15,10.91,7.93,36.4,-5.66,42.06,7.95,2.25,1.47,2.22,2.0,spring,summer,Temperate-Dry-Continental,20,80
Basel,Switzerland,Northern,47.71,7.44,11.48,15.14,19.0,7.34,4.42,35.11,-10.22,45.33,6.14,1.86,1.67,1.37,1.24,spring,winter,Temperate-Dry-Continental,20,80
Bath,United Kingdom,Northern,51.64,-1.93,10.8,12.11,15.93,9.1,6.06,27.49,-4.07,31.56,8.71,1.52,2.32,2.78,2.09,autumn,spring,Temperate-Dry-Continental,20,80
Beijing,China,Northern,39.83,116.35,12.7,19.68,24.25,5.97,0.88,35.98,-13.13,49.11,9.37,2.04,5.33,1.55,0.46,summer,winter,Temperate-Dry-Continental,20,80
Beirut,Lebanon,Northern,34.88,33.63,20.64,22.33,27.99,18.95,13.3,37.42,2.33,35.09,3.48,0.28,0.11,1.24,1.85,winter,summer,Hot-Dry-Continental,19,76
Belgrade,Serbia,Northern,46.01,18.23,12.08,16.36,21.14,7.17,3.68,34.62,-10.7,45.32,6.63,2.08,1.84,1.55,1.16,spring,winter,Temperate-Dry-Continental,19,76
Bergen,Norway,Northern,60.35,5.52,8.37,10.32,14.7,5.75,2.72,28.26,-8.05,36.31,26.91,4.33,6.64,9.17,6.76,autumn,spring,Cold-Dry-Continental,20,80
Berlin,Germany,Northern,51.72,11.11,9.96,13.33,17.54,6.26,2.73,33.86,-12.34,46.2,6.74,1.64,2.18,1.56,1.37,summer,winter,Cold-Dry-Continental,20,80
Bern,Switzerland,Northern,47.59,7.53,11.5,15.19,19.05,7.34,4.42,35.11,-10.36,45.47,5.98,1.85,1.63,1.3,1.2,spring,winter,Temperate-Dry-Continental,20,80
Bilbao,Spain,Northern,43.18,-2.85,14.65,15.91,20.48,12.64,9.54,37.79,-2.27,40.06,13.05,2.6,1.86,4.46,4.12,autumn,summer,Temperate-Dry-Continental,20,80
Birmingham,United Kingdom,Northern,52.32,-1.72,10.65,12.03,15.81,8.82,5.93,28.04,-4.71,32.75,7.91,1.51,2.05,2.43,1.92,autumn,spring,Temperate-Dry-Continental,20,80
Bishkek,Kyrgyzstan,Northern,41.88,78.23,-2.78,2.97,6.68,-7.44,-13.33,19.86,-28.27,48.13,28.55,10.48,7.11,6.1,4.86,spring,winter,Cold-Dry-Continental,8,32
Bogotá,Colombia,Northern,4.84,-74.24,17.26,17.38,17.27,17.03,17.36,25.02,9.22,15.8,20.31,6.74,3.53,5.77,4.27,spring,summer,Temperate-Dry-Moderate,16,64
Bologna,Italy,Northern,43.33,10.65,12.94,15.76,21.16,9.48,5.36,33.04,-5.93,38.97,7.18,1.68,1.11,1.85,2.54,winter,summer,Temperate-Dry-Continental,20,80
Boracay,Philippines,Northern,12.27,123.44,27.86,28.8,28.18,27.63,26.83,34.16,21.42,12.74,42.01,8.86,12.12,11.96,9.07,summer,spring,Hot-Dry-Maritime,20,80
Bordeaux,France,Northern,44.75,0.13,13.24,15.52,19.74,10.39,7.33,35.63,-5.44,41.07,8.64,2.24,1.54,2.58,2.28,autumn,summer,Temperate-Dry-Continental,20,80
Boston,United States,Northern,42.38,-71.25,11.19,14.53,21.81,7.58,0.86,35.09,-17.35,52.44,12.4,2.89,3.05,3.35,3.11,autumn,spring,Temperate-Dry-Continental,11,44
Bratislava,Slovakia,Northern,48.17,18.71,10.92,15.68,19.68,5.86,2.46,35.55,-13.83,49.38,6.1,1.74,2.02,1.28,1.07,summer,winter,Temperate-Dry-Continental,20,80
Brazzaville,Republic of the Congo,Southern,-1.67,13.4,25.64,25.55,26.39,25.84,24.76,34.75,19.48,15.27,32.11,10.38,6.46,10.05,5.22,spring,winter,Hot-Dry-Moderate,4,16
Bridgetown,Barbados,Northern,14.77,-60.88,27.26,27.84,28.22,26.95,26.02,31.2,21.5,9.7,37.35,5.04,1.17,29.1,2.04,autumn,summer,Hot-Dry-Maritime,1,4
Brisbane,Australia,Southern,-27.53,152.76,20.6,22.81,24.95,18.11,16.54,33.95,3.68,30.27,8.74,1.99,3.46,2.19,1.11,summer,winter,Hot-Dry-Continental,20,80
Brno,Czech Republic,Northern,47.87,18.18,11.8,16.63,20.62,6.6,3.34,36.55,-12.18,48.73,5.93,1.63,1.89,1.28,1.13,summer,winter,Temperate-Dry-Continental,20,80
Brunei,Brunei,Northern,4.94,114.93,27.79,28.27,27.87,27.59,27.43,34.99,22.01,12.98,47.16,11.41,11.31,12.94,11.5,autumn,summer,Hot-Dry-Maritime,19,76
Brussels,Belgium,Northern,50.8,4.35,11.32,13.77,17.12,8.72,5.7,30.47,-4.76,35.23,9.22,2.47,2.08,2.46,2.21,spring,summer,Temperate-Dry-Continental,17,68
Bucharest,Romania,Northern,44.77,26.15,11.7,16.24,21.59,6.62,2.35,35.99,-16.79,52.78,7.03,2.25,1.83,1.56,1.38,spring,winter,Temperate-Dry-Continental,20,80
Budapest,Hungary,Northern,47.28,19.31,12.16,16.49,20.56,7.65,3.94,33.92,-8.91,42.83,8.33,2.52,2.88,1.53,1.39,summer,winter,Temperate-Dry-Continental,19,76
Buenos Aires,Argentina,Southern,-34.87,-58.76,16.67,19.19,21.94,14.1,11.44,35.79,1.38,34.41,33.9,9.02,10.4,7.69,6.8,summer,winter,Temperate-Dry-Continental,20,80
